# OANC GrAF | sha256 5a26559a1becba41a527cb674fff4fb9c4fb70b276f60422c4f07a0ef23fd867 | pack gre | entries 5859
abase	The House recently defeated a resolution calling for all Americans to abase themselves before God, but not before some 140 members voted for it.
abate	The government’s resolve did not abate, however.I am happy, by the way, that Abate did not say that studying Latin helps you to think clearly—an erroneous notion still often heard.
abbreviate	The province’s largest town (where it is the custom never to abbreviate “Saint” to ���St.”I should like to correct three arithmetic errors in the article, “To Abbrev, or not to Abbreviate,” by Don Sharp [XVII,2].
abdicate	The uprising was quashed, however, and in 1795, Poniatowski was forced to abdicate.Mary was forcedto abdicate in 1567, and the infant prince was crowned as James VI.
abduct	Its very name became a verb in English: “to shanghai” meant to abduct by trickery or force.Even today, Yanomamo men raid villages, kill men, and abduct women for procreative purposes.
aberrant	The first cartoon characters to be accused of aberrant sexual practices were Batman and Robin.In contrast, CD7 expression varied in the aberrant tumor cell population in 10 of 38 (26%) cases.
aberration	CGMA produced 10 of 13 (77%) predictions that matched a consensus chromosomal aberration profile."[Hitler's rule was] an aberration, but not an organic aspect of German society."
abet	Is the Secret Service a Praetorian Guard that can abet an imperial president in sleaze and coverup?Other conditions that abet colonization of the CF lung include impairment of the "mucociliary escalator" and macrophage-mediated phagocytosis by the viscous airway secretions.
abeyance	This is a genre that flourished in the mid-1980s, then fell into abeyance for a number of years, and is now, I am happy to report, experiencing a modest renaissance.
abhor	Just as nature is reputed to abhor a vacuum, some people can't abide asymmetry.I abhor child abuse and feel that the abusers should be punished, but corporal discipline is different.
abhorrent	The figure is false, the source of the figure is a wacko, and Bennett's conclusion that homosexuality should be discouraged is abhorrent.It has also aired more than 80 episodes of The New Adventures of Winnie the Pooh . "Disney Pooh" horrifies Pooh traditionalists ("abhorrent," says one young mother I know).
abide	and they never had to attend but if if they missed it they had to abide by the rulesOne difference: Schröder hates emotional displays, claiming he "can't abide pathos."
abject	And I wouldn't be indignant if a sufficiently abject confession was tarted up with a bit of "..The abject acknowledgments pages tell the tale: "To my wife, who endured my obsession with grace ..."
abjure	He insists that Tibetans abjure violence, threatening to abdicate if Tibetans take arms against the Chinese.(One's attorney and one's mother abjure questions of motive.)
abolition	In contrast, the level of explained variance for the CRH-R1 function abolition data was 54.Pete Wilson's executive abolition of affirmative action in the awarding of state contracts.
aboriginal	And, third, as a matter of governmental policy, Aboriginal names for flora and fauna have been preferred.If it also sharpens Aboriginal leaders' understanding of the need for greater efforts on their part, even better."
abortive	When disrupted, the pattern of CSPG expression is coincident with abortive axonal growth.He added that Ressam's abortive December 1999 attack revealed al Qaeda supporters in the United States.
abound	So now that I'm clearing up those pesky little mood swings, prospective partners abound!Not surprisingly, examples abound of disaster-aid abuses and misuses over the last few years.
aboveboard	We're not talking conspiracy theory here: It's all quite legal, and more or less aboveboard.and uh you hopefully will find that you want the candidates that are running to be honest and aboveboard and unfortunately they are not
abrasion	Corrosion and abrasion resistant materials are increasingly being applied with success in modern FGD systems to improve reliability and long-term performance.The chemical reactions that occur with the limestone reagent form a corrosive environment requiring many of the system components to be corrosion and abrasion resistant.
abrasive	Officers perennially gripe about the abrasive and unsympathetic qualities of job toilet paper .Atta proved a poor bridge, however, because of his abrasive and increasingly dogmatic personality.
abreast	One goal of Slate is to help you to stay efficiently abreast of developments you aren't wildly interested in.“Keeping abreast of the times and translating into the language we use today are two slogans wisely adopted.”
abridge	So the complainers were not only trying to abridge freedom of expression, they were wildly off-base.No State shall make or enforce any law which shall abridge the privileges or immunities of citizens of the United States.
abrogate	Consistent with this, the T790M mutation has been shown not to abrogate the catalytic activity of wild-type EGFR [22].in vitro work showing that blockade of TGF-β signalling did not abrogate the growth inhibitory effect of tamoxifen on breast cancer cells [ 26].
abrupt	Maybe so, but there's something opportunistic about Léger's abrupt embrace of urban life.[Click for Isikoff's explanation of his abrupt departure that evening on Pages 205-06.
absenteeism	The most consistent finding from the literature on employee marijuana use is its association with increased absenteeism.oh yeah what we do usually is uh vote uh absenteeism
absolve	Explanations of bad behavior that appeal to genes do not absolve a person any more than do explanations that appeal to upbringing.The fact that the USS Cole was attacked during the last Administration does not absolve us of responding for the attack," he wrote.
abstain	To apologize, in short, is to abstain from spin--one of the few feats of which Clinton seems incapable.Patients who are more ready to cut down are generally less ready to abstain.
abstemious	The more abstemious can stick to Portuguese mineral water.The men of the Lakes, hard working and abstemious, have always found ways to enjoy themselves, and this more often than not involved means physical competition.
abstention	However, the resolution was softened to the point of ambiguity by the dissent (and eventual abstention) of Russia and China; the NYT says the UNSC resolution "skirts an outright threat to use force."
abstinent	Lonely and anxious to be used, the condom grows so weary of the wait that he throws away his watch: Either the condom's owner is abstinent, or he's careless.
abstruse	As history grew more and more abstruse in the '60s and '70s, historians ceded the role of public intellectual to journalists.The reason: an abstruse quarrel over abortion funding.
absurd	And make no mistake, a winery need not cram a label with absurd adjectives to sell a wine.There is, of course, much more about Ruddy's book that is equally absurd--or simply wrong.
abundance	The assessment of bias in dinucleotide relative abundance begins with the "odds ratios" rBoth are notable for the variety of species and the abundance of herons and white pelicans.
abundant	Life is so abundant that in some places all the oxygen in the water is completely used up.Twenty-six transcripts were comparatively abundant only in leaf blades (Figure 2, node a).
abusive	Kentucky officials say there is a virtual epidemic of abusive relationships in the state.They were simply two lonely souls who bonded over their shared experience of abusive parents.
abut	In many American apparel plants, central spreading and cutting rooms abut the area of fabric inventory.Primers P370R and P356F directly abut each other at the exon 2/3 boundary.
